Title,Link,Status,Start_date,Deadline,Pertinence,Matching Word(s)
RFCS-2025 Steel Pilot and Demonstration Projects,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RFCS-2025-02-PDP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=50&sortBy=startDate",Open For Submission,18 June 2025,24 September 2025,No,
RFCS-2025 Steel Research Projects,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RFCS-2025-02-RPJ?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=50&sortBy=startDate",Open For Submission,18 June 2025,24 September 2025,No,
RFCS-2025 Coal Research Projects,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RFCS-2025-01-RPJ?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=50&sortBy=startDate",Open For Submission,18 June 2025,24 September 2025,No,
RFCS-2025 Coal Pilot and Demonstration Projects,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RFCS-2025-01-PDP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=50&sortBy=startDate",Open For Submission,18 June 2025,24 September 2025,No,
RFCS-2025 Coal Accompanying Measures,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RFCS-2025-01-AM?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=50&sortBy=startDate",Open For Submission,18 June 2025,24 September 2025,No,
RFCS-2025 Steel Accompanying Measures,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RFCS-2025-02-AM?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=50&sortBy=startDate",Open For Submission,18 June 2025,24 September 2025,No,
SNS Trials and Pilots (T&Ps) with Verticals,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-SNS-2025-02-STREAM-D-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=50&sortBy=startDate",Open For Submission,18 June 2025,18 September 2025,No,
THE HUBS,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/11167?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=2&pageSize=50&sortBy=startDate",Open For Submission,18 June 2025,15 November 2025,No,
CodeWeek Grant Support,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/11141?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=50&sortBy=startDate",Open For Submission,17 June 2025,21 August 2025,No,
Champions for the Digital Decade Financial Support to Third Parties,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/11163?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=50&sortBy=startDate",Open For Submission,17 June 2025,31 August 2025,No,
